smiles_list,Drug_ID,Drug Name,distance_to_cluster_centriod
COc1ccc(cc1Cl)CNc2c(cnc(n2)N3CCC[C@H]3CO)C(=O)NCc4ncccn4,SmallMolecule_106,Avanafil,0.01383446413203615
COC(=O)OCOc1c(=O)ccn2c1C(=O)N3CCOC[C@H]3N2[C@@H]4c5ccccc5SCc6c4ccc(c6F)F,SmallMolecule_120,Baloxavir,0.015268016822116759
CN(CCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3)C(=O)c4ccc(cc4)CN5CCC(CC5)C(=O)N,SmallMolecule_1048,Revefenacin,0.015831193541349986
Cc1[nH]nc(c1)Nc2nc(nc(c2)C)[C@H]3CC[C@](CC3)(OC)C(=O)N[C@H](c4cnc(cc4)n5ncc(c5)F)C,SmallMolecule_990,Pralsetinib,0.01590153329604649
CCc1c2cc(ccc2nc-3c1Cn4c3cc5c(c4=O)COC(=O)[C@@]5(CC)O)OC(=O)N6CCC(CC6)N7CCCCC7,SmallMolecule_628,Irinotecan,0.016181124319667894
C[C@H](Cc1cc2c(c(c1)C(=O)N)N(CC2)CCCO)NCCOc3ccccc3OCC(F)(F)F,SmallMolecule_1116,Silodosin,0.016206674007242405
c1cc(cc(c1)n2c(cc(n2)C(F)(F)F)C(=O)Nc3cc(ccc3F)[C@@H](c4cccc(c4)C#N)NCC5CC5)CN,SmallMolecule_141,Berotralstat,0.01623375100896407
C[C@@H]1[C@@H](CCN1Cc2ccccc2)NC(=O)c3cc(c(cc3OC)NC)Cl,SmallMolecule_849,Nemonapride,0.016272533337498896
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/c4ccc(cn4)c5cccc(c5)F)[C@H](OC3=O)C,SmallMolecule_1318,Vorapaxar,0.01640859777754544
Cc1c(cccc1C(=O)Nc2ccc(nc2)N3C[C@H](O[C@H](C3)C)C)c4ccc(cc4)OC(F)(F)F,SmallMolecule_1131,Sonidegib,0.016576896868280233
CCN(c1cc(cc(c1C)C(=O)NCc2c(cc([nH]c2=O)C)C)c3ccc(cc3)CN4CCOCC4)C5CCOCC5,SmallMolecule_1175,Tazemetostat,0.016612166225720815
CN(C)Cc1cn(nc1c2ccccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N5CCOCC5)NC(=O)C=C,SmallMolecule_667,Lazertinib,0.01678842384550716
CCc1c(ccc(c1)/C(=N/OCc2cc(c(cc2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O,SmallMolecule_1118,Siponimod,0.016875643677222496
CCCc1c2c(c(=O)nc([nH]2)c3cc(ccc3OCCC)S(=O)(=O)NCCC4CCCN4C)n(n1)C,SmallMolecule_1271,Udenafil,0.0169470121719012
