smiles_list,Drug_ID,Drug Name
c1nc2c(nc(nc2n1[C@@H]3C[C@@H](C=C3)CO)N)NC4CC4,SmallMolecule_1,Abacavir
CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,SmallMolecule_2,Abemaciclib
C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4c5cccnc5)C)O,SmallMolecule_3,Abiraterone
CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(c2ncnc3c2cc[nH]3)C,SmallMolecule_4,Abrocitinib
CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5,SmallMolecule_5,Acalabrutinib
C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,SmallMolecule_7,Acarbose
CCn1c(c(c(=O)[nH]c1=O)C(C)C)C(=O)c2cc(cc(c2)C#N)C,SmallMolecule_8,Acc007
c1ccc(c(c1)CC(=O)OCC(=O)O)Nc2c(cccc2Cl)Cl,SmallMolecule_9,Aceclofenac
CC(C)Cc1ccc(cc1)C(C)C(=O)O,SmallMolecule_11,Acetaminophen
CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,SmallMolecule_13,Acetyllcarnitine
c1nc2c(=O)[nH]c(nc2n1COCCO)N,SmallMolecule_15,Aciclovir
c1cc(cc(c1)NC(=O)C(=O)O)c2[nH]nnn2,SmallMolecule_17,Acitazanolast
Cc1cc(c(c(c1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,SmallMolecule_18,Acitretin
c1ccc(cc1)OCCC[N@@+]23C[C@@H]([C@@H](CC2)CC3)OC(=O)C(O)(c4sccc4)c5sccc5,SmallMolecule_19,Aclidinium
CC(C)N(CCNC(=O)c1csc(n1)NC(=O)c2cc(c(cc2O)OC)OC)C(C)C,SmallMolecule_20,Acotiamide
Cc1ccc(cc1)/C(=C\CN2CCCC2)/c3cccc(n3)/C=C/C(=O)O,SmallMolecule_21,Acrivastine
COc1c(cc(cc1)c2cc3c(cc(cc3)C(=O)O)cc2)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,SmallMolecule_23,Adapalene
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c1ncnc2N)OCOC(=O)C(C)(C)C,SmallMolecule_24,Adefovir
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,SmallMolecule_25,Ademetionine
CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,SmallMolecule_26,Afatinib
CC(=O)NCCc1cccc2c1cc(cc2)OC,SmallMolecule_27,Agomelatine
C[C@H]1CCc2c3n1cc(c(=O)c3cc(c2N4CCC(CC4)OC(=O)[C@H](C)N)F)C(=O)O,SmallMolecule_28,Alalevonadifloxacin
C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@H]1[C@H]2[C@@H]1CN(C2)c3c(cc4c(=O)c(cn(c4n3)c5ccc(cc5F)F)C(=O)O)F)N,SmallMolecule_29,Alatrofloxacin
CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,SmallMolecule_30,Albendazole
CN1CCC(=C2c3ccccc3CCn4c2ncc4C=O)CC1,SmallMolecule_31,Alcaftadine
CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,SmallMolecule_32,Alectinib
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,SmallMolecule_33,Alendronate
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,SmallMolecule_34,Alfacalcidol
Cn1cc(c2c1cccc2)c3ccnc(n3)Nc4cc(c(nc4OCC(F)(F)F)N(C)CCN(C)C)NC(=O)C=C,SmallMolecule_35,Alflutinib
CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC,SmallMolecule_36,Alfuzosin
CC(C)[C@@H](Cc1ccc(c(c1)OCCCOC)OC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,SmallMolecule_37,Aliskiren
CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,SmallMolecule_38,Alitretinoin
CCCCc1nc(c(n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)C(=O)OCOC(=O)OC(C)C)Cl,SmallMolecule_39,Allisartan
CN(C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3,SmallMolecule_40,Almotriptan
Cn1c(=O)cc(n(c1=O)Cc2ccccc2C#N)N3CCC[C@H](C3)N,SmallMolecule_41,Alogliptin
Cc1c(nc[nH]1)CN2CCc3c(c4ccccc4n3C)C2=O,SmallMolecule_42,Alosetron
Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F,SmallMolecule_43,Alpelisib
Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,SmallMolecule_44,Alprazolam
CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,SmallMolecule_45,Alprostadil
CN(C)c1nc(nc(n1)N(C)C)N(C)C,SmallMolecule_46,Altretamine
C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O,SmallMolecule_47,Alvimopan
Cc1cc(nc(n1)O[C@H](C(=O)O)C(c2ccccc2)(c3ccccc3)OC)C,SmallMolecule_49,Ambrisentan
c1c(c(c(cc1Br)Br)N)CN[C@H]2CC[C@@H](CC2)O,SmallMolecule_50,Ambroxol
Cc1cccc(c1N(CC(=O)Nc2ccc(cc2)c3ncon3)C(=O)C4CCS(=O)(=O)CC4)C,SmallMolecule_51,Amenamevir
COc1ccc(cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3)Cl,SmallMolecule_53,Amglidia
C(CN)CNCCSP(=O)(O)O,SmallMolecule_55,Amifostine
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,SmallMolecule_56,Amikacin
CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I,SmallMolecule_58,Amiodarone
CCN1CCCC1CNC(=O)c2cc(c(cc2OC)N)S(=O)(=O)CC,SmallMolecule_59,Amisulpride
CC(C)c1ccc2c(c1)c(=O)c3cc(c(nc3o2)N)C(=O)O,SmallMolecule_60,Amlexanox
CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,SmallMolecule_61,Amlodipine
CCC(C)(C)c1ccc(cc1)CC(C)CN2C[C@H](O[C@H](C2)C)C,SmallMolecule_63,Amorolfine
Cc1ccc(cc1S(=O)(=O)N)C(CNCCOc2ccccc2OC)O,SmallMolecule_64,Amosulalol
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)C(=O)O)C,SmallMolecule_65,Amoxicillin
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)c2c1cccc2)C)C(=O)Nc3ccccn3,SmallMolecule_67,Ampiroxicam
CC(=O)[C@@]1(Cc2c(c(c3c(c2O)C(=O)c4ccccc4C3=O)O)[C@H](C1)O[C@H]5C[C@@H]([C@@H](CO5)O)O)N,SmallMolecule_69,Amrubicin
Cc1ccc(cc1)C(=O)c2ccc(n2C)CC(=O)NCC(=O)Oc3ccccc3OC,SmallMolecule_70,Amtolmetin
Cc1cc2ncc(cn2n1)C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N,SmallMolecule_71,Anagliptin
c1cc(c(c2c1N=C3NC(=O)CN3C2)Cl)Cl,SmallMolecule_72,Anagrelide
CC(C)(C(=O)N[C@H](Cc1c[nH]c2c1cccc2)C(=O)N3CCC[C@](C3)(Cc4ccccc4)C(=O)N(C)N(C)C)N,SmallMolecule_73,Anamorelin
CC(C)(C#N)c1cc(cc(c1)C(C)(C)C#N)Cn2cncn2,SmallMolecule_74,Anastrozole
CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC=C3[C@H]2CCC4=CC(=O)CC[C@@]43C)C)O,SmallMolecule_75,Anecortave
COc1ccc(cc1)C(=O)N2CCCC2=O,SmallMolecule_77,Aniracetam
C[C@H]1COc2c3n1cc(c(=O)c3c(c(c2N4CCN(CC4)C)F)N)C(=O)O,SmallMolecule_78,Antofloxacin
Cc1cccc(c1C)Nc2ccccc2C(=O)O[Al](OC(=O)c3ccccc3Nc4cccc(c4C)C)OC(=O)c5ccccc5Nc6cccc(c6C)C,SmallMolecule_79,Antral
CNC(=O)c1ccc(cc1F)N2C(=S)N(C(=O)C23CCC3)c4cc(c(nc4)C#N)C(F)(F)F,SmallMolecule_80,Apalutamide
COc1ccc(cc1)n2c3c(c(n2)C(=O)N)CCN(C3=O)c4ccc(cc4)N5CCCCC5=O,SmallMolecule_81,Apixaban
CN1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,SmallMolecule_82,Apomorphine
CCOc1cc(ccc1OC)[C@@H](CS(=O)(=O)C)N2C(=O)c3cccc(c3C2=O)NC(=O)C,SmallMolecule_83,Apremilast
C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)Cc3[nH]c(=O)[nH]n3)c4ccc(cc4)F,SmallMolecule_84,Aprepitant
c1cn(c(=O)nc1N)[C@H]2CO[C@H](S2)CO,SmallMolecule_85,Apricitabine
CC1=C(C(C(=C(N1)C)C(=O)OCC(=O)C)c2ccccc2[N+](=O)[O-])C(=O)OC,SmallMolecule_86,Aranidipine
C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)NC(=O)[C@H](CCN)O)N)N,SmallMolecule_87,Arbekacin
C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NCC(C3)C,SmallMolecule_88,Argatroban
CCCCCCCCCCCC(=O)OCN1c2cc(ccc2CCC1=O)OCCCCN3CCN(CC3)c4cccc(c4Cl)Cl,SmallMolecule_89,Aripiprazole
C1CSS[C@@H]1CCCCC(=O)O,SmallMolecule_90,Arlipoic
c1ccc(cc1)C(c2ccccc2)[S@](=O)CC(=O)N,SmallMolecule_91,Armodafinil
CCO[C@@H]1[C@@H]([C@@H]2CC[C@H]([C@H]3[C@]24[C@H](O1)O[C@](CC3)(OO4)C)C)C,SmallMolecule_92,Artemotil
C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,SmallMolecule_93,Artesunate
c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl,SmallMolecule_94,Asciminib
CN1C[C@@H]2c3ccccc3Oc4ccc(cc4[C@H]2C1)Cl,SmallMolecule_95,Asenapine
CC(C)(C)[C@@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C3CC3)Oc4c5cc(ccc5c(cn4)OC)Cl)NC(=O)OC(C)(C)C,SmallMolecule_96,Asunaprevir
c1ccc(c(c1)c2nc(no2)c3cccc(c3)C(=O)O)F,SmallMolecule_97,Ataluren
CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,SmallMolecule_98,Atazanavir
CC(C)NCC(COc1ccc(cc1)CC(=O)N)O,SmallMolecule_99,Atenolol
