DrugID	DrugName	SMILES
SmallMolecule_1	Abacavir	c1nc2c(nc(nc2n1[C@@H]3C[C@@H](C=C3)CO)N)NC4CC4
SmallMolecule_2	Abemaciclib	CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F
SmallMolecule_3	Abiraterone	C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4c5cccnc5)C)O
SmallMolecule_4	Abrocitinib	CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(c2ncnc3c2cc[nH]3)C
SmallMolecule_5	Acalabrutinib	CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5
SmallMolecule_6	Acamprosate	CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
SmallMolecule_7	Acarbose	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
SmallMolecule_8	Acc007	CCn1c(c(c(=O)[nH]c1=O)C(C)C)C(=O)c2cc(cc(c2)C#N)C
SmallMolecule_9	Aceclofenac	c1ccc(c(c1)CC(=O)OCC(=O)O)Nc2c(cccc2Cl)Cl
SmallMolecule_10	Acemannan	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@H]([C@H]2OC(=O)C)O)O[C@@H]3[C@H](O[C@H]([C@H]([C@H]3OC(=O)C)O)O[C@@H]4[C@H](O[C@H]([C@H]([C@H]4OC(=O)C)O)O)CO)CO)CO)CO)O[C@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O[C@H]6[C@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)OC(=O)C)O)OC(=O)C)O)OC(=O)C)O)OC(=O)C)O)O
SmallMolecule_11	Acetaminophen	CC(C)Cc1ccc(cc1)C(C)C(=O)O.CC(=O)Nc1ccc(cc1)O
SmallMolecule_12	Acetylcysteine	CC(=O)N[C@@H](CS)C(=O)O
SmallMolecule_13	Acetyllcarnitine	CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C.[Cl-]
SmallMolecule_14	Acetylsalicylic	CC(=O)Oc1ccccc1C(=O)O
SmallMolecule_15	Aciclovir	c1nc2c(=O)[nH]c(nc2n1COCCO)N
SmallMolecule_16	Acipimox	Cc1cnc(c[n+]1[O-])C(=O)O
SmallMolecule_17	Acitazanolast	c1cc(cc(c1)NC(=O)C(=O)O)c2[nH]nnn2
SmallMolecule_18	Acitretin	Cc1cc(c(c(c1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC
SmallMolecule_19	Aclidinium	c1ccc(cc1)OCCC[N@@+]23C[C@@H]([C@@H](CC2)CC3)OC(=O)C(O)(c4sccc4)c5sccc5.[Br-]
SmallMolecule_20	Acotiamide	CC(C)N(CCNC(=O)c1csc(n1)NC(=O)c2cc(c(cc2O)OC)OC)C(C)C.O.O.O.Cl
SmallMolecule_21	Acrivastine	Cc1ccc(cc1)/C(=C\CN2CCCC2)/c3cccc(n3)/C=C/C(=O)O
SmallMolecule_22	Actarit	CC(=O)Nc1ccc(cc1)CC(=O)O
SmallMolecule_23	Adapalene	COc1c(cc(cc1)c2cc3c(cc(cc3)C(=O)O)cc2)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6
SmallMolecule_24	Adefovir	CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c1ncnc2N)OCOC(=O)C(C)(C)C
SmallMolecule_25	Ademetionine	C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O
SmallMolecule_26	Afatinib	CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F
SmallMolecule_27	Agomelatine	CC(=O)NCCc1cccc2c1cc(cc2)OC
SmallMolecule_28	Alalevonadifloxacin	C[C@H]1CCc2c3n1cc(c(=O)c3cc(c2N4CCC(CC4)OC(=O)[C@H](C)N)F)C(=O)O.CS(=O)(=O)O
SmallMolecule_29	Alatrofloxacin	C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@H]1[C@H]2[C@@H]1CN(C2)c3c(cc4c(=O)c(cn(c4n3)c5ccc(cc5F)F)C(=O)O)F)N.CS(=O)(=O)O
SmallMolecule_30	Albendazole	CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC
SmallMolecule_31	Alcaftadine	CN1CCC(=C2c3ccccc3CCn4c2ncc4C=O)CC1
SmallMolecule_32	Alectinib	CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C
SmallMolecule_33	Alendronate	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
SmallMolecule_34	Alfacalcidol	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
SmallMolecule_35	Alflutinib	Cn1cc(c2c1cccc2)c3ccnc(n3)Nc4cc(c(nc4OCC(F)(F)F)N(C)CCN(C)C)NC(=O)C=C.CS(=O)(=O)O
SmallMolecule_36	Alfuzosin	CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC
SmallMolecule_37	Aliskiren	CC(C)[C@@H](Cc1ccc(c(c1)OCCCOC)OC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
