rxn_id,source_id,rxn_type,temperature_degC,time_h,atmosphere,scale_mol,concentration_moll,stmat_1_smiles,stmat_1_eq,reagent_1_smiles,reagent_1_eq,reagent_2_smiles,reagent_2_eq,reagent_3_smiles,reagent_3_eq,reagent_4_smiles,reagent_4_eq,catalyst_1_smiles,catalyst_1_eq,catalyst_2_smiles,catalyst_2_eq,ligand_1_smiles,ligand_1_eq,ligand_2_smiles,ligand_2_eq,additive_1_smiles,additive_1_eq,solvent_1_smiles,solvent_1_fraction,solvent_2_smiles,solvent_2_fraction,product_1_smiles,product_1_yield,product_1_yieldtype,product_2_smiles,product_2_yield,product_2_yieldtype
lit_pub_bo_1,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,ClC=1C=CN=C2C=3N=CC=C(Cl)C3C=CC12,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.15,GC,"",,""
lit_pub_bo_2,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=CC=C2C=CC=3C=CC=NC3C12,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.42,GC,"",,""
lit_pub_bo_3,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,"",,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.23,GC,"",,""
lit_pub_bo_4,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=CC(=C2C=CC3=C(N=CC=C3C[Si](C(C)C)(C(C)C)C(C)C)C12)C[Si](C(C)C)(C(C)C)C(C)C,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.55,GC,"",,""
lit_pub_bo_5,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=CC(=C2C=CC3=C(N=CC=C3N4CCCC4)C12)N5CCCC5,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.33,GC,"",,""
lit_pub_bo_6,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,ClC1=C2C=CC=3C(Cl)=C(C=NC3C2=NC=C1C)C,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.23,GC,"",,""
lit_pub_bo_7,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=C(C=C2C=CC=3C=C(C=NC3C12)C)C,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,1,GC,"",,""
lit_pub_bo_8,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=C(C(=C2C=CC3=C(N=CC(=C3C)C)C12)C)C,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,1.03,GC,"",,""
lit_pub_bo_9,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=C(C(=C2C=CC3=C(N=CC(=C3C[Si](C(C)C)(C(C)C)C(C)C)C)C12)C[Si](C(C)C)(C(C)C)C(C)C)C,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,1.37,GC,"",,""
lit_pub_bo_10,10.1021/acscatal.0c00152,borylation,100,48,ar,0.00017,,O1CCCC1,26.1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,"",,"",,"",,"",,"",,N=1C=C(C(=C2C=CC3=C(N=CC(=C3N4CCCC4)C)C12)N5CCCC5)C,0.050,"",,"",,O1CCCC1,,"",,O1B(OC(C)(C)C1(C)C)C2COCC2,0.89,GC,"",,""
